Crop,Crop_Category,Soil_Type,pH_Min,pH_Max,pH_Optimal,Nitrogen_Min_kg_ha,Nitrogen_Max_kg_ha,Nitrogen_Optimal_kg_ha,Phosphorus_Min_kg_ha,Phosphorus_Max_kg_ha,Phosphorus_Optimal_kg_ha,Potassium_Min_kg_ha,Potassium_Max_kg_ha,Potassium_Optimal_kg_ha,Temperature_Min_C,Temperature_Max_C,Temperature_Optimal_C,Water_Requirement_mm,Moisture_Min_percent,Moisture_Max_percent,Moisture_Optimal_percent,Humidity_Min_percent,Humidity_Max_percent,Humidity_Optimal_percent,Growing_Season,Planting_Month,Harvesting_Month,Expected_Yield_tonnes_ha,Water_Efficiency_Index,Fertilizer_Efficiency_Index,Growth_Duration_days,Soil_Depth_cm,Rainfall_Requirement_mm
Jowar,Cereal,Sandy Loam,6.0,8.5,7.0,80,120,100,25,50,40,25,50,40,26,35,30,450,45,65,55,50,75,60,Kharif,June,October,1.0,0.91,0.89,100,15,400
Bajra,Cereal,Sandy,7.0,8.5,7.5,50,100,75,25,50,40,25,50,40,25,35,30,350,40,60,50,40,70,55,Kharif,July,October,0.8,0.94,0.92,75,10,300
Sesamum,Oilseed,Sandy Loam,5.5,7.0,6.2,30,60,45,20,40,30,25,45,35,25,30,27,450,50,70,60,55,75,65,Kharif,June,September,0.4,0.88,0.90,90,15,400
Sunflower,Oilseed,Loam,6.5,7.5,7.0,60,100,80,40,80,60,40,80,60,20,30,25,400,50,70,60,55,75,65,Rabi,November,March,1.2,0.90,0.88,100,20,350
Safflower,Oilseed,Clay Loam,7.0,8.5,7.5,60,100,80,30,60,45,30,60,45,15,25,20,300,45,65,55,50,70,60,Rabi,October,March,0.7,0.92,0.91,120,25,300
Linseed,Oilseed,Loam,6.5,7.5,7.0,40,80,60,30,60,45,25,50,40,10,25,18,300,50,70,60,55,75,65,Rabi,October,March,0.6,0.91,0.89,130,20,250
Castor,Oilseed,Sandy Loam,6.5,7.5,7.0,50,100,75,30,60,45,40,80,60,20,30,25,500,45,65,55,50,70,60,Kharif,June,February,1.0,0.89,0.87,240,25,500
Niger,Oilseed,Sandy Loam,5.5,7.0,6.2,30,60,45,20,40,30,25,45,35,20,30,25,600,55,75,65,60,80,70,Kharif,July,December,0.3,0.85,0.88,150,15,600
Tobacco,Cash Crop,Sandy Loam,5.5,7.5,6.5,80,150,115,40,80,60,80,150,115,18,30,24,450,50,70,60,60,80,70,Rabi,December,April,1.8,0.86,0.84,120,25,400
Jwar,Cereal,Sandy Clay,6.0,8.0,7.0,80,120,100,25,50,40,25,50,40,26,35,30,400,45,65,55,50,75,60,Kharif,June,October,1.1,0.90,0.88,100,15,350
Barley,Cereal,Loam,6.5,7.8,7.0,80,120,100,30,50,40,25,45,35,12,25,18,400,50,70,60,50,75,60,Rabi,November,April,2.5,0.91,0.89,120,20,350
Oats,Cereal,Sandy Loam,6.0,7.0,6.5,60,100,80,25,40,35,20,40,30,10,20,15,300,45,65,55,50,70,60,Rabi,November,March,1.8,0.93,0.91,90,15,250
Ragi,Cereal,Red Soil,5.5,7.0,6.0,40,80,60,20,40,30,20,40,30,20,30,25,500,50,70,60,60,80,70,Kharif,June,October,1.2,0.89,0.88,120,15,500
Coconut,Plantation,Sandy Loam,5.2,8.0,6.5,100,200,150,30,60,45,140,280,210,20,35,28,1500,60,80,70,70,90,80,Year Round,Year Round,Year Round,15,0.82,0.86,365,50,1200
Arecanut,Plantation,Clay Loam,5.5,6.5,6.0,150,300,225,40,80,60,200,400,300,22,32,27,2000,70,90,80,80,95,90,Year Round,Year Round,Year Round,2.5,0.80,0.84,365,50,1500
Coffee,Plantation,Red Soil,5.5,6.5,6.0,100,200,150,30,60,45,150,300,225,15,25,20,1800,65,85,75,75,90,85,Year Round,Year Round,Year Round,0.8,0.81,0.85,365,40,1200
Tea,Plantation,Acidic Soil,4.5,6.0,5.5,150,300,225,40,80,60,100,200,150,15,30,22,1500,70,90,80,80,95,90,Year Round,Year Round,Year Round,2.2,0.83,0.87,365,30,1200
Cardamom,Spice,Forest Soil,5.0,6.5,5.8,80,160,120,25,50,40,60,120,90,15,25,20,1200,70,90,80,85,95,90,Year Round,Year Round,Year Round,0.3,0.79,0.82,365,25,1000
Black_Pepper,Spice,Laterite,5.5,7.0,6.2,100,200,150,30,60,45,80,160,120,20,35,28,2000,70,90,80,80,95,90,Year Round,Year Round,Year Round,2.5,0.78,0.81,365,30,1500
Turmeric,Spice,Clay Loam,6.0,7.5,6.8,60,120,90,25,50,40,80,160,120,25,35,30,1000,65,85,75,70,90,80,Kharif,May,February,25,0.85,0.88,300,25,1000
Ginger,Spice,Sandy Loam,5.5,6.5,6.0,80,160,120,30,60,45,100,200,150,20,30,25,1200,70,90,80,80,95,90,Kharif,April,December,12,0.82,0.85,240,20,1000
Coriander,Spice,Loam,6.5,7.5,7.0,40,80,60,20,40,30,40,80,60,15,25,20,400,50,70,60,55,75,65,Rabi,November,March,1.2,0.91,0.90,90,15,300
Cumin,Spice,Sandy Loam,7.0,8.0,7.5,30,60,45,20,40,30,30,60,45,15,25,20,350,45,65,55,50,70,60,Rabi,November,March,0.8,0.92,0.91,120,15,250
Fennel,Spice,Clay Loam,6.5,8.0,7.2,60,120,90,30,60,45,40,80,60,10,25,18,400,50,70,60,55,75,65,Rabi,November,April,1.5,0.90,0.89,140,20,300
Fenugreek,Spice,Loam,6.0,7.0,6.5,30,60,45,25,50,40,30,60,45,15,25,20,300,45,65,55,50,70,60,Rabi,November,March,1.8,0.93,0.92,120,15,250
Onion,Vegetable,Sandy Loam,6.0,7.0,6.5,100,150,125,40,80,60,80,160,120,15,25,20,500,55,75,65,60,80,70,Rabi,November,April,25,0.88,0.87,120,20,350
Potato,Vegetable,Sandy Loam,5.5,6.5,6.0,120,180,150,50,100,75,100,200,150,15,25,20,500,60,80,70,65,85,75,Rabi,December,March,25,0.86,0.85,90,25,400
Tomato,Vegetable,Loam,6.0,7.0,6.5,120,200,160,60,120,90,120,240,180,18,30,24,600,60,80,70,60,80,70,Rabi,November,April,40,0.85,0.84,120,25,500
Brinjal,Vegetable,Clay Loam,6.0,7.0,6.5,100,150,125,50,100,75,100,200,150,20,35,28,500,60,80,70,65,85,75,Year Round,Year Round,Year Round,25,0.87,0.86,150,25,500
Okra,Vegetable,Sandy Loam,6.0,7.5,6.8,80,120,100,40,80,60,60,120,90,25,35,30,500,55,75,65,60,80,70,Kharif,June,September,12,0.88,0.87,90,20,400
Cabbage,Vegetable,Loam,6.0,7.0,6.5,120,180,150,60,120,90,80,160,120,15,25,20,500,65,85,75,70,90,80,Rabi,November,February,35,0.89,0.88,90,20,400
Cauliflower,Vegetable,Clay Loam,6.0,7.0,6.5,120,180,150,60,120,90,80,160,120,15,25,20,500,65,85,75,70,90,80,Rabi,November,February,20,0.90,0.89,75,20,350
Carrot,Vegetable,Sandy Loam,6.0,7.0,6.5,80,120,100,40,80,60,60,120,90,15,25,20,400,60,80,70,65,85,75,Rabi,November,March,25,0.91,0.90,120,25,300
Green_Peas,Vegetable,Clay Loam,6.0,7.5,7.0,40,80,60,50,100,75,40,80,60,10,25,18,400,60,80,70,65,85,75,Rabi,November,March,8,0.92,0.93,90,20,300
Sweet_Potato,Tuber,Sandy Loam,5.5,6.5,6.0,60,120,90,30,60,45,80,160,120,20,30,25,500,55,75,65,60,80,70,Kharif,June,November,20,0.87,0.86,120,30,500
Cassava,Tuber,Red Soil,5.5,7.0,6.2,40,80,60,20,40,30,60,120,90,22,35,28,750,50,70,60,60,80,70,Year Round,Year Round,Year Round,25,0.84,0.83,300,40,600
